Year,Position,Number,Draw,Name,Days-since-last-run,Previous-performances,Course-winner,Distance-winner,Odds(decimal),Form,Num-of-wins-in-last-3-starts,Result-last-start,Placed-Last-Time-Out,Won-Last-Time-Out,Age,Weight(pounds),Rating,Trainer,Jockey,Distances(lenghts),Going,Profitable
2012,11,8,11,Shareta (IRE),21,D,No,Yes,15,323221,1,1,Yes,Yes,4,128,,A de Royer-Dupre,C P Lemaire,,Good to Soft,0
2012,12,11,14,Bayrir (FR),21,,No,No,23,14112,2,2,Yes,No,3,123,,A de Royer-Dupre,G Mosse,,Good to Soft,0
2012,13,12,15,Kesampour (FR),21,,No,No,29,111145,1,5,No,No,3,123,,M Delzangles,Gregory Benoist,,Good to Soft,0
2012,14,13,5,Camelot,22,BF,No,No,3,111112,2,2,Yes,No,3,123,,A P O'Brien,L Dettori,,Good to Soft,0
2012,15,15,4,Ernest Hemingway (IRE),143,BF,No,No,151,17,1,7,No,No,3,123,,A P O'Brien,C O'Donoghue,,Good to Soft,0
2012,16,16,2,Saonois (FR),21,C,Yes,No,10,211411,2,1,Yes,Yes,3,123,,J P Gauvin,A Hamelin,,Good to Soft,0
2012,17,17,3,Yellow And Green,21,D,No,Yes,15,23214,1,4,No,No,3,120,,Clement,T Thulliez,,Good to Soft,0
2012,18,18,7,Great Heavens,77,D,No,Yes,7,51111,3,1,Yes,Yes,3,120,,J & T Gosden,W Buick,,Good to Soft,0
2011,1,15,2,Danedream (GER),28,D,No,Yes,21,431511,2,1,Yes,Yes,3,120,,P Schiergen,A Starke,0,Good,1
2011,2,13,9,Shareta (IRE),21,D,No,Yes,67,217113,2,3,Yes,No,3,120,,A de Royer-Dupre,T Jarnet,,Good,1
2011,3,8,11,Snow Fairy (IRE),29,D,No,Yes,15,411422,0,2,Yes,No,4,128,,E A L Dunlop,L Dettori,,Good,1
2011,4,6,14,So You Think (NZ),29,,No,No,5.5,311211,2,1,Yes,Yes,5,131,,A P O'Brien,J A Heffernan,,Good,1
2011,5,2,6,St Nicholas Abbey (IRE),21,D,No,Yes,34,631133,1,3,Yes,No,4,131,,A P O'Brien,Joseph O'Brien,,Good,1
2011,6,10,10,Meandre (FR),21,BF,No,No,13,221112,2,2,Yes,No,3,123,,A Fabre,M Guyon,,Good,0
2011,7,7,13,Sarafina (FR),21,C,Yes,No,5,332111,3,1,Yes,Yes,4,128,,A de Royer-Dupre,C P Lemaire,,Good,0
2011,8,3,15,Silver Pond (FR),35,C,Yes,No,101,346132,1,2,Yes,No,4,131,,C Laffon-Parias,T Thulliez,,Good,0
2011,9,16,4,Galikova (FR),21,C,Yes,No,8,511211,2,1,Yes,Yes,3,120,,F Head,O Peslier,,Good,0
2011,10,4,1,Hiruno D'Amour (JPN),21,,No,No,11,223112,2,2,Yes,No,4,131,,M Kon,S Fujita,,Good,0
2011,11,5,16,Nakayama Festa (JPN),21,D,No,Yes,29,112204,0,4,No,No,5,131,,Y Ninomiya,M Ebina,,Good,0
2011,12,1,8,Workforce,71,BF,No,No,11,151122,1,2,Yes,No,4,131,,Sir Michael Stoute,R L Moore,,Good,0
2011,13,14,3,Testosterone (IRE),21,C,Yes,No,67,313112,2,2,Yes,No,3,120,,P Bary,S Pasquier,,Good,0
2011,14,9,12,Treasure Beach,50,D,No,Yes,29,312141,2,1,Yes,Yes,3,123,,A P O'Brien,C O'Donoghue,,Good,0
2011,15,12,7,Reliable Man,21,CD,Yes,Yes,13,11131,2,1,Yes,Yes,3,123,,A de Royer-Dupre,G Mosse,,Good,0
2011,16,11,5,Masked Marvel,22,,No,No,15,651811,2,1,Yes,Yes,3,123,,J & T Gosden,W Buick,,Good,0
2010,1,13,8,Workforce,71,BF,No,No,7,1215,1,5,No,No,3,123,126,Sir Michael Stoute,R L Moore,0,Soft,1
2010,2,7,10,Nakayama Festa (JPN),21,D,No,Yes,23,100112,2,2,Yes,No,4,130,,Y Ninomiya,M Ebina,0.25,Soft,1
2010,3,20,3,Sarafina (FR),21,C,Yes,No,13,1113,2,3,Yes,No,3,119,,A de Royer-Dupre,G Mosse,2.5,Soft,1
2010,4,14,9,Behkabad (FR),21,C,Yes,No,4.5,131411,2,1,Yes,Yes,3,123,,J C Rouget,C P Lemaire,1.5,Soft,1
2010,5,3,1,Fame And Glory,56,D,No,Yes,5.5,631111,3,1,Yes,Yes,4,130,128,A P O'Brien,Johnny Murtagh,1,Soft,1
2010,6,2,17,Marinous (FR),35,D,No,Yes,51,312431,1,1,Yes,Yes,4,130,,F Head,D Bonilla,1,Soft,1
2010,7,19,5,Victoire Pisa (JPN),21,,No,No,41,111134,1,4,No,No,3,123,,K Sumii,Yutaka Take,2,Soft,0
2010,8,6,4,Cavalryman,28,CD,Yes,Yes,21,755043,0,3,Yes,No,4,130,117,S bin Suroor,L Dettori,,Soft,0
2010,9,10,20,Liang Kay (EG),36,BF,No,No,151,123443,0,3,Yes,No,5,130,,U Ostmann,S Pasquier,,Soft,0
2010,10,1,12,Youmzain (IRE),71,D,No,Yes,13,208423,0,3,Yes,No,7,130,117,M R Channon,Richard Hughes,,Soft,0
2010,11,17,13,Lope De Vega (IRE),28,C,Yes,No,21,431185,1,5,No,No,3,123,,A Fabre,M Guyon,,Soft,0
2010,12,5,6,Wiener Walzer (GER),28,D,No,Yes,101,143526,0,6,No,No,4,130,,J Hirschberger,T P Queally,,Soft,0
2010,13,15,11,Cape Blanco (IRE),29,D,No,Yes,12,110121,2,1,Yes,Yes,3,123,119,A P O'Brien,C Soumillon,,Soft,0
2010,14,8,14,Timos (GER),21,D,No,Yes,67,651523,0,3,Yes,No,5,130,,T Doumen,Kieren Fallon,,Soft,0
2010,15,9,16,Duncan,21,D,No,Yes,34,932241,1,1,Yes,Yes,5,130,119,J & T Gosden,W Buick,,Soft,0
2010,16,12,15,Plumania,21,C,Yes,No,26,344112,2,2,Yes,No,4,128,,A Fabre,O Peslier,,Soft,0
2010,17,18,18,Midas Touch,22,,No,No,41,415222,0,2,Yes,No,3,123,112,A P O'Brien,J A Heffernan,,Soft,0
2010,18,4,2,Pouvoir Absolu,35,D,No,Yes,151,511358,0,8,No,No,5,130,,E Lellouche,S Fargeat,,Soft,0
2010,0,11,19,Tullamore (USA),98,D,No,Yes,0,220116,2,6,No,No,5,130,,Z Koplik,F Blondel,,Soft,0
2009,1,18,6,Sea The Stars (IRE),29,D,No,Yes,1.67,111111,3,1,Yes,Yes,3,123,,J M Oxx,Mick Kinane,0,Good,1
2009,2,1,1,Youmzain (IRE),28,BF,No,No,21,324233,0,3,Yes,No,6,131,,M R Channon,Kieren Fallon,2,Good,1
2009,3,16,19,Cavalryman,21,CD,Yes,Yes,13,142111,3,1,Yes,Yes,3,123,,A Fabre,L Dettori,0.25,Good,1
2009,4,2,12,Conduit (IRE),71,D,No,Yes,9,111231,1,1,Yes,Yes,4,131,,Sir Michael Stoute,R L Moore,0.25,Good,1
2009,5,10,2,Dar Re Mi,21,D,No,Yes,26,232110,2,10,No,No,4,128,,J & T Gosden,J Fortune,1,Good,1
2009,6,15,10,Fame And Glory,29,D,No,Yes,7,111212,1,2,Yes,No,3,123,,A P O'Brien,Johnny Murtagh,1,Good,1
2009,7,12,8,La Boum (GER),42,D,No,Yes,501,924353,0,3,Yes,No,6,128,,Rob collet,T Jarnet,0.5,Good,0
2009,8,3,9,Vision D'etat (FR),21,BF,No,No,15,153112,2,2,Yes,No,4,131,,E Libaud,O Peslier,,Good,0
2009,9,4,17,Magadan (IRE),98,C,Yes,No,151,31135,1,5,No,No,4,131,,E Lellouche,A Crastus,,Good,0
2009,10,5,19,The Bogberry (USA),28,,No,No,251,342555,0,5,No,No,4,131,,A de Royer-Dupre,M Kappushev,,Good,0
2009,11,6,7,Steele Tango (USA),92,,No,No,501,243785,0,5,No,No,4,131,,R A Teal,D Holland,,Good,0
2009,12,7,3,Getaway (GER),28,C,Yes,No,34,882121,2,1,Yes,Yes,6,131,,J Hirschberger,S Pasquier,,Good,0
2009,13,8,13,Tullamore (USA),133,D,No,Yes,501,133477,0,7,No,No,4,131,,Z Koplik,V Janacek,,Good,0
2009,14,9,4,Hot Six (BRZ),63,,No,No,251,221125,1,5,No,No,4,130,,G Duarte,T Pereira,,Good,0
2009,15,11,11,Tangaspeed (FR),21,CD,Yes,Yes,501,349409,0,9,No,No,4,128,,R Laplanche,I Mendizabal,,Good,0
2009,16,13,15,Beheshtam (FR),21,CD,Yes,Yes,17,11462,0,2,Yes,No,3,123,,A de Royer-Dupre,G Mosse,,Good,0
2009,17,14,14,Set Sail (IRE),29,,No,No,501,239,0,9,No,No,3,123,,A P O'Brien,S M Levey,,Good,0
2009,18,17,5,Grand Ducal (IRE),29,,No,No,301,124314,1,4,No,No,3,123,,A P O'Brien,P J Smullen,,Good,0
2009,19,19,16,Stacelita (FR),21,BF,No,No,21,111111,3,1,Yes,Yes,3,120,,J C Rouget,C Soumillon,,Good,0
2008,1,16,1,Zarkava (IRE),21,C,Yes,No,2.63,111111,3,1,Yes,Yes,3,120,,A de Royer-Dupre,C Soumillon,0,Good to Soft,1
2008,2,1,3,Youmzain (IRE),71,D,No,Yes,13,425213,1,3,Yes,No,5,131,,M R Channon,R Hills,2,Good to Soft,1
2008,3,6,9,Soldier of Fortune (IRE),98,BF,No,No,5.5,511512,1,2,Yes,No,4,131,,A P O'Brien,J A Heffernan,0.25,Good to Soft,1
2008,4,9,2,It's Gino (GER),28,CD,Yes,Yes,151,111233,0,3,Yes,No,5,131,,P Vovcenko,T Thulliez,0.5,Good to Soft,1
2008,5,12,8,Vision D'etat (FR),21,CD,Yes,Yes,8,111111,3,1,Yes,Yes,3,123,,E Libaud,I Mendizabal,1,Good to Soft,1
2008,6,3,15,Ask,71,D,No,Yes,34,112155,1,5,No,No,5,131,,Sir Michael Stoute,R L Moore,0.3,Good to Soft,0
2008,7,7,14,Duke Of Marmalade (IRE),43,C,Yes,No,5,311111,3,1,Yes,Yes,4,131,,A P O'Brien,Johnny Murtagh,0.25,Good to Soft,0
2008,8,11,7,Getaway (GER),35,C,Yes,No,12,241551,1,1,Yes,Yes,5,131,,A Fabre,O Peslier,1,Good to Soft,0
2008,9,15,16,Cima De Triomphe (IRE),18,,No,No,151,331171,2,1,Yes,Yes,3,123,,B Grizzetti,D Vargiu,1,Good to Soft,0
2008,10,5,3,Meisho Samson (JAP),98,D,No,Yes,26,238622,0,2,Yes,No,5,131,,T Setoguchi,Yutaka Take,0.35,Good to Soft,0
2008,11,13,12,Kamsin (GER),28,D,No,Yes,26,14111,3,1,Yes,Yes,3,123,,P Schiergen,J Victoire,2.5,Good to Soft,0
2008,12,8,5,Papal Bull,49,BF,No,No,17,374222,0,2,Yes,No,5,131,,Sir Michael Stoute,J Fortune,1.5,Good to Soft,0
2008,13,4,10,Schiaparelli (GER),21,D,No,Yes,34,311112,2,2,Yes,No,5,131,,S bin Suroor,L Dettori,4,Good to Soft,0
2008,14,14,6,Blue Bresil (FR),43,,No,No,251,330375,0,5,No,No,3,123,,L Larrigade,W Mongil,3,Good to Soft,0
2008,15,2,11,Zambezi Sun,21,C,Yes,No,51,386241,1,1,Yes,Yes,4,131,,P Bary,S Pasquier,10,Good to Soft,0
2008,16,10,13,Red Rock Canyon (IRE),28,,No,No,251,330476,0,6,No,No,4,131,,A P O'Brien,C O'Donoghue,,Good to Soft,0
2007,1,2,6,Dylan Thomas (IRE),29,D,No,Yes,6.6,122121,2,1,Yes,Yes,4,131,127,A P O'Brien,Kieren Fallon,0,Soft,1
2007,2,1,4,Youmzain (IRE),35,D,No,Yes,67,133524,0,4,No,No,4,131,118,M R Channon,Richard Hughes,,Soft,1
2007,3,11,11,Sagara (USA),21,,No,No,34,127352,0,2,Yes,No,3,123,,J E Pease,T Gillet,,Soft,1
2007,4,5,10,Getaway (GER),21,BF,No,No,51,111312,1,2,Yes,No,4,131,,A Fabre,O Peslier,,Soft,1
2007,5,10,5,Soldier of Fortune (IRE),21,CD,Yes,Yes,4.5,211511,2,1,Yes,Yes,3,123,125,A P O'Brien,Johnny Murtagh,,Soft,0
2007,6,4,2,Saddex,56,D,No,Yes,26,432111,3,1,Yes,Yes,4,131,,P Rau,T Mundry,,Soft,0
2007,7,6,3,Mandesha (FR),21,CD,Yes,Yes,13,111222,0,2,Yes,No,4,128,,A de Royer-Dupre,C Soumillon,,Soft,0
2007,8,7,8,Zambezi Sun,21,BF,No,No,6.6,11413,1,3,Yes,No,3,123,,P Bary,S Pasquier,,Soft,0
2007,9,3,1,Dragon Dancer,21,D,No,Yes,151,246013,1,3,Yes,No,4,131,113,G Wragg,D Holland,,Soft,0
2007,10,12,12,Authorized (IRE),47,D,No,Yes,2.1,311121,2,1,Yes,Yes,3,123,128,P W Chapple-Hyam,L Dettori,,Soft,0
2007,11,9,9,Yellowstone (IRE),29,D,No,Yes,151,834126,1,6,No,No,3,123,117,A P O'Brien,P J Smullen,,Soft,0
2007,12,8,7,Song of Hiawatha,21,,No,No,301,81276,0,6,No,No,3,123,106,A P O'Brien,D McCabe,,Soft,0
2006,1,5,4,Rail Link,21,CD,Yes,Yes,9,21111,3,1,Yes,Yes,3,123,,A Fabre,S Pasquier,,Good,1
2006,2,4,5,Pride (FR),21,CD,Yes,Yes,12,224113,2,3,Yes,No,6,128,,A de Royer-Dupre,C P Lemaire,0.3,Good,1
2006,3,1,2,Deep Impact (JPN),98,D,No,Yes,3.25,112111,3,1,Yes,Yes,4,131,,Yasup Ikee,Yutaka Take,0.5,Good,1
2006,4,2,1,Hurricane Run (IRE),21,BF,No,No,3.5,111212,1,2,Yes,No,4,131,,A Fabre,Kieren Fallon,2.5,Good,0
2006,5,8,3,Best Name,15,C,Yes,No,101,21281,1,1,Yes,Yes,3,123,,Robert Collet,O Peslier,2,Good,0
2006,6,7,7,Irish Wells (FR),35,D,No,Yes,126,133611,2,1,Yes,Yes,3,123,,Rohaut (s),D Boeuf,0.25,Good,0
2006,7,6,8,Sixties Icon,22,D,No,Yes,11,617311,2,1,Yes,Yes,3,123,,J Noseda,L Dettori,4,Good,0
2006,8,3,6,Shirocco (GER),21,CD,Yes,Yes,3.75,341111,3,1,Yes,Yes,5,131,,A Fabre,C Soumillon,1.5,Good,0
2005,1,13,6,Hurricane Run (IRE),21,CD,Yes,Yes,3.75,111211,2,1,Yes,Yes,3,123,,A Fabre,Kieren Fallon,0,Soft,1
2005,2,2,4,Westerner,28,CD,Yes,Yes,17,111113,2,3,Yes,No,6,131,,E Lellouche,O Peslier,2,Soft,1
2005,3,5,13,Bago (FR),71,CD,Yes,Yes,9,311233,0,3,Yes,No,4,131,,J E Pease,T Gillet,1.5,Soft,1
2005,4,7,15,Shirocco (GER),21,D,No,Yes,26,313113,2,3,Yes,No,4,131,,A Fabre,S Pasquier,0.75,Soft,1
2005,5,12,8,Motivator,22,D,No,Yes,3.5,111122,1,2,Yes,No,3,123,,M L W Bell,Johnny Murtagh,0.35,Soft,1
2005,6,15,1,Shawanda (IRE),21,CD,Yes,Yes,4,211111,3,1,Yes,Yes,3,120,,A de Royer-Dupre,C Soumillon,1.5,Soft,0
2005,7,8,14,Pride (FR),21,CD,Yes,Yes,17,12611,2,1,Yes,Yes,5,128,,A de Royer-Dupre,C P Lemaire,1.5,Soft,0
2005,8,4,2,Warrsan (IRE),28,D,No,Yes,51,944541,1,1,Yes,Yes,7,131,,C E Brittain,Kerrin McEvoy,1.5,Soft,0
2005,9,1,9,Mubtaker (USA),7,D,No,Yes,41,302111,3,1,Yes,Yes,8,131,,M P Tregoning,R Hills,3,Soft,0
2005,10,11,10,Scorpion (IRE),22,CD,Yes,Yes,11,120211,2,1,Yes,Yes,3,123,,A P O'Brien,Mick Kinane,1.5,Soft,0
2005,11,6,5,Norse Dancer (IRE),22,,No,No,67,556258,0,8,No,No,5,131,,D R C Elsworth,J F Egan,6,Soft,0
2005,12,3,11,Cherry Mix (FR),28,BF,No,No,29,112405,0,5,No,No,4,131,,S bin Suroor,L Dettori,1.5,Soft,0
2005,13,9,3,Samando (FR),28,CD,Yes,Yes,151,413974,0,4,No,No,5,128,,F Doumen,T Hellier,5,Soft,0
2005,14,14,7,Windya (FR),22,,No,No,251,211271,1,1,Yes,Yes,3,120,,J C Rouget,T Jarnet,4,Soft,0
2005,0,10,12,Voltmeter (IRE),24,,No,No,251,232134,1,4,No,No,3,123,,E Lellouche,T Thulliez,0.4,Soft,0
2022,1,8,8,Place Du Carrousel (IRE),105,D,No,Yes,67,2-1120,1,10,No,No,3,123,102,A Fabre,M Barzalona,,Very Soft,1
2022,2,7,13,Nashwa,66,D,No,Yes,3,3-11311,2,1,Yes,Yes,3,123,115,J & T Gosden,Hollie Doyle,,Very Soft,1
2022,3,12,5,Above The Curve (USA),21,D,No,Yes,5,3-1211,2,1,Yes,Yes,3,123,111,J P O'Brien,R L Moore,,Very Soft,1
2022,4,5,10,My Astra (IRE),98,BF,No,No,8.5,112-312,1,2,Yes,No,4,128,115,W J Haggas,Tom Marquand,,Very Soft,1
2022,5,2,12,Rumi (FR),42,C,Yes,No,101,01/01/5624,0,4,No,No,4,128,109,C Laffon-Parias,O Peslier,,Very Soft,1
2022,6,13,16,Tuesday (IRE),21,,No,No,13,321424,0,4,No,No,3,123,118,A P O'Brien,W M Lordan,,Very Soft,0
2022,7,15,2,Mqse De Sevigne (IRE),43,C,Yes,No,51,01/01/1922,0,2,Yes,No,3,123,103,A Fabre,M Guyon,,Very Soft,0
2022,8,14,11,Trevaunance (IRE),43,D,No,Yes,34,14-1511,2,1,Yes,Yes,3,123,110,Mrs J Harrington,S Foley,,Very Soft,0
2022,9,4,3,Jupyra (FR),15,D,No,Yes,101,124-27,0,7,No,No,5,128,102,M Delzangles,C P Lemaire,,Very Soft,0
2022,10,16,1,Fall In Love (IRE),21,,No,No,81,01/01/4556,0,6,No,No,3,123,,H Shimizu,S Planque,,Very Soft,0
2022,11,3,9,Insinuendo (IRE),21,D,No,Yes,13,184-222,0,2,Yes,No,5,128,107,W McCreery,W J Lee,,Very Soft,0
2022,12,6,6,Agave,21,C,Yes,No,81,112438,0,8,No,No,3,123,,A Fabre,B Murzabayev,,Very Soft,0
2022,13,10,7,Rosacea (IRE),43,C,Yes,No,34,1-1436,0,6,No,No,3,123,,S Wattel,S Pasquier,,Very Soft,0
2022,14,9,15,La Parisienne (FR),21,D,No,Yes,5,1-1223,0,3,Yes,No,3,123,,C & Y Lerner,G Mosse,,Very Soft,0
2022,15,11,14,Zefania (FR),22,D,No,Yes,151,513452,0,2,Yes,No,3,123,,S Smrczek,R Piechulek,,Very Soft,0
2022,16,1,4,Ebaiyra (USA),42,D,No,Yes,11,31/01/2812,1,2,Yes,No,5,128,108,F Graffard,C Soumillon,,Very Soft,0
2021,1,11,14,Rougir (FR),43,,No,No,17,685243,0,3,Yes,No,3,123,110,C E Rossi,M Guyon,,Very Soft,1
2021,2,1,7,Grand Glory,42,D,No,Yes,6,-26311,2,1,Yes,Yes,5,128,116,G Bietolini,L Dettori,,Very Soft,1
2021,3,4,12,Eudaimonia (FR),28,D,No,Yes,41,136-44,0,4,No,No,6,128,103,E D Monfort,S Pasquier,,Very Soft,1
2021,4,5,3,Audarya (FR),42,D,No,Yes,5,131-252,0,2,Yes,No,5,128,117,J R Fanshawe,I Mendizabal,,Very Soft,1
2021,5,3,6,Thundering Nights (IRE),21,D,No,Yes,7,7-22133,1,3,Yes,No,4,128,113,J P O'Brien,S Crosse,,Very Soft,0
2021,6,12,9,Zeyaadah (IRE),43,D,No,Yes,13,1-20126,1,6,No,No,3,123,112,R Varian,Jim Crowley,,Very Soft,0
2021,7,14,11,Sibila Spain (IRE),31,D,No,Yes,9,11441,1,1,Yes,Yes,3,123,109,C H Head,O Peslier,,Very Soft,0
2021,8,15,5,Incarville (FR),21,C,Yes,No,26,221755,0,5,No,No,3,123,107,D Smaga,C Soumillon,,Very Soft,0
2021,9,2,2,Ambition,42,D,No,Yes,17,125-64,0,4,No,No,5,128,111,X Thomas-Demeaulte,G Mosse,,Very Soft,0
2021,10,7,4,Joan Of Arc (IRE),21,D,No,Yes,9,612137,1,7,No,No,3,123,111,A P O'Brien,R L Moore,,Very Soft,0
2021,11,9,13,Palmas (GER),63,D,No,Yes,12,20/04/1900,3,1,Yes,Yes,3,123,112,Andreas Wohler,E Pedroza,,Very Soft,0
2021,12,8,15,Burgarita,21,C,Yes,No,11,11324,0,4,No,No,3,123,110,A Fabre,M Barzalona,,Very Soft,0
2021,13,6,8,Ikat (JPN),63,,No,No,67,-3417,1,7,No,No,4,128,100,T Saito,Oisin Murphy,,Very Soft,0
2021,14,10,1,Babylone (FR),43,C,Yes,No,23,01/01/2118,2,8,No,No,3,123,107,A Fabre,W Buick,,Very Soft,0
2020,1,2,14,Tarnawa (IRE),21,C,Yes,No,3.75,0119-11,2,1,Yes,Yes,4,128,118,D K Weld,C Soumillon,,Heavy,1
2020,2,13,4,Alpine Star (IRE),49,,No,No,2.5,311-122,1,2,Yes,No,3,123,118,Mrs J Harrington,S Foley,,Heavy,1
2020,3,7,1,Audarya (FR),42,D,No,Yes,19,Dec-11,2,1,Yes,Yes,4,128,111,J R Fanshawe,I Mendizabal,,Heavy,1
2020,4,8,9,Tawkeel,43,D,No,Yes,5,11111,3,1,Yes,Yes,3,123,114,J C Rouget,C Demuro,,Heavy,1
2020,5,5,7,Ambition,42,D,No,Yes,9,131-12,2,2,Yes,No,4,128,110,X Thomas-Demeaulte,M Barzalona,,Heavy,0
2020,6,9,10,Tickle Me Green (GER),16,D,No,Yes,12,-39125,1,5,No,No,3,123,109,F Graffard,P C Boudot,,Heavy,0
2020,7,1,6,Grand Glory,21,D,No,Yes,51,3-1239,0,9,No,No,4,128,106,G Bietolini,L Dettori,,Heavy,0
2020,8,14,5,Inter Royal Lady (IRE),,,No,No,151,-11121,2,1,Yes,Yes,3,123,95,A wyrzyk,S Mazur,,Heavy,0
2020,9,3,2,All Rumours (FR),18,D,No,Yes,67,31-141,2,1,Yes,Yes,4,128,104,X Thomas-Demeaulte,Tom Marquand,,Heavy,0
2020,10,6,11,Spirit Of Nelson (IRE),42,D,No,Yes,81,Jun-16,1,6,No,No,5,12,104,J Reynier,M Guyon,,Heavy,0
2020,11,10,8,Zariyannka (IRE),,,No,No,251,42195,1,5,No,No,3,123,81,Zdenek Koplik,Rad Koplik,,Heavy,0
2020,12,4,3,Durance (GER),21,D,No,Yes,34,-22145,1,5,No,No,4,128,109,P Schiergen,O Peslier,,Heavy,0
2019,1,5,7,Villa Marina,21,D,No,Yes,19,Nov-81,2,4,No,No,3,123,,C Laffon-Parias,O Peslier,,Very Soft,1
2019,2,11,12,Fleeting (IRE),21,,No,No,17,32245,0,5,No,No,3,123,,A P O'Brien,W M Lordan,,Very Soft,1
2019,3,3,11,Watch Me (FR),56,,No,No,11,1-1614,1,4,No,No,3,123,,F Graffard,P C Boudot,,Very Soft,1
2019,4,12,4,Commes (FR),52,,No,No,13,Feb-23,0,3,Yes,No,3,123,,J C Rouget,Yutaka Take,,Very Soft,1
2019,5,8,9,Terebellum (IRE),50,D,No,Yes,9,131,2,1,Yes,Yes,3,123,,J & T Gosden,M Barzalona,,Very Soft,0
2019,6,2,1,With You,49,,No,No,7,34-822,0,2,Yes,No,4,128,,F Head,A Lemaitre,,Very Soft,0
2019,7,1,2,Ligne D'Or,21,D,No,Yes,26,Jan-43,0,3,Yes,No,4,128,,A Fabre,V Cheminaud,,Very Soft,0
2019,8,4,8,Pink Dogwood (IRE),21,D,No,Yes,8.5,5-12338,0,8,No,No,3,123,,A P O'Brien,R L Moore,,Very Soft,0
2019,9,9,5,Etoile (FR),50,D,No,Yes,34,112146,1,6,No,No,3,123,,J C Rouget,C Demuro,,Very Soft,0
2019,10,7,3,Mehdaayih,66,D,No,Yes,2.37,1-11712,1,2,Yes,No,3,123,,J & T Gosden,L Dettori,,Very Soft,0
2019,11,6,10,Cartiem (FR),50,D,No,Yes,101,-11073,0,3,Yes,No,3,123,,J C Rouget,M Guyon,,Very Soft,0
2018,1,11,5,Wild Illusion,66,D,No,Yes,2.87,31-4221,1,1,Yes,Yes,3,123,115,C Appleby,W Buick,,Good to Soft,1
2018,2,16,9,Magic Wand (IRE),21,,No,No,6,141552,0,2,Yes,No,3,123,113,A P O'Brien,R L Moore,,Good to Soft,1
2018,3,9,1,Homerique (USA),28,D,No,Yes,11,12317,1,7,No,No,3,123,112,F Graffard,C Soumillon,,Good to Soft,1
2018,4,15,3,With You,56,,No,No,5.5,Nov-13,1,3,Yes,No,3,123,115,F Head,A Lemaitre,,Good to Soft,1
2018,5,14,4,Well Timed (GER),21,D,No,Yes,41,4-11116,2,6,No,No,3,123,110,J Carvalho,M Guyon,,Good to Soft,1
2018,6,10,12,My Sister Nat (FR),15,C,Yes,No,26,21231,1,1,Yes,Yes,3,123,109,F Graffard,M Barzalona,,Good to Soft,0
2018,7,5,6,Navaro Girl (IRE),49,D,No,Yes,51,16-4363,0,3,Yes,No,4,128,110,P Schiergen,C Demuro,,Good to Soft,0
2018,8,7,8,Athena (IRE),22,D,No,Yes,26,143174,1,4,No,No,3,123,113,A P O'Brien,W M Lordan,,Good to Soft,0
2018,9,1,14,Urban Fox,49,D,No,Yes,13,4-14122,1,2,Yes,No,4,128,115,W J Haggas,James Doyle,,Good to Soft,0
2018,10,2,7,Lady Frankel,49,,No,No,8,3173-24,0,4,No,No,4,128,112,A Fabre,P C Boudot,,Good to Soft,0
2018,11,8,2,Castellar (FR),50,D,No,Yes,17,5-12101,2,1,Yes,Yes,3,123,109,C Laffon-Parias,O Peslier,,Good to Soft,0
2018,12,4,10,Rhododendron (IRE),22,D,No,Yes,15,419696,0,6,No,No,4,128,115,A P O'Brien,D O'Brien,,Good to Soft,0
2018,13,3,13,L'arc (JPN),25,,No,No,101,88,0,8,No,No,5,128,90,M Matsunaga,Yutaka Take,,Good to Soft,0
2018,14,6,11,Desert Diamond,36,BF,No,No,19,114212,1,2,Yes,No,3,123,107,Sir Michael Stoute,Oisin Murphy,,Good to Soft,0
2018,15,12,15,Winter Lightning (IRE),18,,No,No,67,2-11335,0,5,No,No,3,123,106,S bin Suroor,Hector Crouch,,Good to Soft,0
2022,1,7,1,Kyprios (IRE),20,D,No,Yes,1.57,4-11111,3,1,Yes,Yes,4,128,120,A P O'Brien,R L Moore,,Very Soft,1
2022,2,2,10,Almacado Gree (FR),74,,No,No,101,-34201,1,1,Yes,Yes,7,128,,B Audouin,T Piccone,,Very Soft,1
2022,3,4,9,Tashkhan (IRE),43,,No,No,11,52-5354,0,4,No,No,4,128,113,B Ellison,Ben Robinson,,Very Soft,1
2022,4,10,12,Princess Zoe (GER),20,CD,Yes,Yes,17,5-01676,0,6,No,No,7,124,108,A Mullins,J M Sheridan,,Very Soft,0
2022,5,11,11,Lismore (IRE),20,,No,No,26,8214-83,0,3,Yes,No,5,124,107,H De Bromhead,S Pasquier,,Very Soft,0
2022,6,3,2,Quickthorn,43,C,Yes,No,4.33,9-22111,3,1,Yes,Yes,5,128,117,H Morrison,Tom Marquand,,Very Soft,0
2022,7,5,3,Sapienti (CZE),97,,No,No,101,13-113,2,3,Yes,No,7,128,,Martina Havelkova,M Havelkova,,Very Soft,0
2022,8,12,7,Lubiane (GER),35,,No,No,101,-89228,0,8,No,No,6,124,,P Vovcenko,M Velon,,Very Soft,0
2022,9,1,6,Goya Senora (FR),41,,No,No,51,534121,2,1,Yes,Yes,6,128,93,Y Barberot,G Benoist,,Very Soft,0
2022,10,8,5,Vivienne Wells (FR),41,,No,No,101,Mar-11,2,1,Yes,Yes,5,124,,B Nedorostek,B Murzabayev,,Very Soft,0
2021,1,9,6,Trueshan (FR),67,,No,No,2.1,811-261,1,1,Yes,Yes,5,128,118,A King,James Doyle,,Soft,1
