Year,Position,Number,Draw,Name,Days-since-last-run,Previous-performances,Course-winner,Distance-winner,Odds(decimal),Form,Num-of-wins-in-last-3-starts,Result-last-start,Placed-Last-Time-Out,Won-Last-Time-Out,Age,Weight(pounds),Rating,Trainer,Jockey,Distances(lenghts),Going,Profitable
2020,7,6,14,Stradivarius (IRE),21,,No,No,5.5,123112,2,2,Yes,No,6,131,123,J & T Gosden,O Peslier,0.5,Heavy,0
2020,8,9,12,Deirdre (JPN),66,,No,No,41,434257,0,7,No,No,6,128,119,M Hashida,J P Spencer,2.5,Heavy,0
2020,9,3,6,Way To Paris,21,C,Yes,No,29,621215,1,5,No,No,7,131,115,A Marcialis,I Mendizabal,0.05,Heavy,0
2020,10,2,8,Royal Julius (IRE),14,,No,No,101,156352,0,2,Yes,No,7,131,108,J Reynier,S Foley,0.75,Heavy,0
2020,11,11,13,Chachnak (FR),28,C,Yes,No,101,633101,2,1,Yes,Yes,3,124,108,F Vermeulen,T Piccone,20,Heavy,0
2020,0,4,11,Japan,22,D,No,Yes,15,144335,0,5,No,No,4,131,121,A P O'Brien,Yutaka Take,,Heavy,0
2020,0,5,10,Sovereign (IRE),21,BF,No,No,51,301326,0,6,No,No,4,131,116,A P O'Brien,M Barzalona,,Heavy,0
2020,0,13,3,Mogul,21,D,No,Yes,17,446131,2,1,Yes,Yes,3,124,119,A P O'Brien,R L Moore,,Heavy,0
2020,0,14,15,Serpentine (IRE),21,D,No,Yes,13,5114,2,4,No,No,3,124,120,A P O'Brien,C Soumillon,,Heavy,0
2019,1,2,3,Waldgeist,21,C,Yes,No,17,51331,1,1,Yes,Yes,5,131,122,A Fabre,P C Boudot,0,Very Soft,1
2019,2,8,9,Enable,45,D,No,Yes,1.67,1111,3,1,Yes,Yes,5,128,128,J & T Gosden,L Dettori,1.75,Very Soft,1
2019,3,12,1,Sottsass (FR),21,CD,Yes,Yes,9,15111,3,1,Yes,Yes,3,124,,J C Rouget,C Demuro,1.75,Very Soft,1
2019,4,10,10,Japan,46,D,No,Yes,7,3111,3,1,Yes,Yes,3,124,122,A P O'Brien,R L Moore,0.5,Very Soft,1
2019,5,9,8,Magical (IRE),22,D,No,Yes,13,2221,1,1,Yes,Yes,4,128,122,A P O'Brien,D O'Brien,6,Very Soft,0
2019,6,11,6,Soft Light (FR),42,,No,No,67,252252,0,2,Yes,No,3,124,,J C Rouget,Yutaka Take,3.5,Very Soft,0
2019,7,4,7,Kiseki (JPN),21,,No,No,67,25223,0,3,Yes,No,5,131,,K Sumii,C Soumillon,8,Very Soft,0
2019,8,7,11,Nagano Gold,42,D,No,Yes,51,41323,0,3,Yes,No,5,131,105,V Luka,M Barzalona,4.5,Very Soft,0
